east_m,north_m,vx_pred,vz_pred,vx_std,vz_std,speed_pred,speed_std
-138.303121,-310.932767,-0.046425,-0.141474,0.460751,0.256541,0.148897,0.282938
-134.205712,-310.932767,-0.046430,-0.141474,0.460751,0.256541,0.148898,0.282942
-130.108302,-310.932767,-0.046439,-0.141474,0.460751,0.256541,0.148901,0.282951
-126.010893,-310.932767,-0.046458,-0.141474,0.460750,0.256541,0.148907,0.282969
-121.913484,-310.932767,-0.046496,-0.141475,0.460748,0.256541,0.148920,0.283006
-117.816074,-310.932767,-0.046569,-0.141476,0.460744,0.256541,0.148943,0.283076
-113.718665,-310.932767,-0.046702,-0.141478,0.460734,0.256541,0.148987,0.283204
-109.621256,-310.932767,-0.046936,-0.141484,0.460708,0.256541,0.149066,0.283428
-105.523847,-310.932767,-0.047332,-0.141498,0.460642,0.256541,0.149205,0.283803
-101.426437,-310.932767,-0.047979,-0.141532,0.460479,0.256541,0.149443,0.284405
-97.329028,-310.932767,-0.048998,-0.141614,0.460086,0.256541,0.149851,0.285322
-93.231619,-310.932767,-0.050530,-0.141813,0.459152,0.256540,0.150547,0.286617
-89.134210,-310.932767,-0.052703,-0.142299,0.456997,0.256532,0.151745,0.288206
-85.036800,-310.932767,-0.055502,-0.143475,0.452180,0.256494,0.153836,0.289552
-80.939391,-310.932767,-0.058497,-0.146291,0.441848,0.256302,0.157553,0.289047
-76.841982,-310.932767,-0.060297,-0.152855,0.420789,0.255423,0.164318,0.283370
-72.744572,-310.932767,-0.057744,-0.167384,0.380706,0.251811,0.177065,0.268477
-68.647163,-310.932767,-0.045475,-0.196164,0.312234,0.239374,0.201366,0.243618
-64.549754,-310.932767,-0.018277,-0.238020,0.221554,0.209672,0.238721,0.209743
-60.452345,-310.932767,0.014655,-0.240052,0.180933,0.189855,0.240499,0.189822
-56.354935,-310.932767,0.061500,-0.140147,0.184268,0.191871,0.153047,0.190664
-52.257526,-310.932767,0.128694,-0.052885,0.178162,0.187474,0.139136,0.179538
-48.160117,-310.932767,0.109106,-0.047482,0.181174,0.190093,0.118991,0.182623
-44.062708,-310.932767,0.061583,-0.074845,0.194480,0.198507,0.096924,0.196891
-39.965298,-310.932767,-0.049067,-0.082653,0.198807,0.201274,0.096120,0.200634
-35.867889,-310.932767,-0.068558,-0.018952,0.175608,0.185498,0.071129,0.176328
-31.770480,-310.932767,0.187270,0.090654,0.197904,0.198719,0.208058,0.198059
-27.673071,-310.932767,0.280759,0.036153,0.275441,0.230757,0.283077,0.274770
-23.575661,-310.932767,0.268157,-0.040595,0.348602,0.248318,0.271212,0.346673
-19.478252,-310.932767,0.219869,-0.092090,0.395900,0.254125,0.238376,0.378131
-15.380843,-310.932767,0.162405,-0.119534,0.424365,0.255828,0.201653,0.373905
-11.283433,-310.932767,0.108472,-0.132346,0.441189,0.256336,0.171119,0.342812
-7.186024,-310.932767,0.063752,-0.137840,0.450760,0.256486,0.151869,0.299995
-3.088615,-310.932767,0.029485,-0.140071,0.455902,0.256528,0.143140,0.268017
1.008794,-310.932767,0.004607,-0.140943,0.458503,0.256538,0.141019,0.256839
5.106204,-310.932767,-0.012771,-0.141277,0.459749,0.256541,0.141853,0.258830
9.203613,-310.932767,-0.024567,-0.141402,0.460319,0.256541,0.143520,0.264752
13.301022,-310.932767,-0.032401,-0.141448,0.460570,0.256541,0.145111,0.270385
17.398431,-310.932767,-0.037515,-0.141465,0.460677,0.256541,0.146354,0.274652
-142.400530,-300.383016,-0.046482,-0.141474,0.460751,0.256541,0.148914,0.282993
-138.303121,-300.383016,-0.046462,-0.141474,0.460751,0.256541,0.148908,0.282973
-134.205712,-300.383016,-0.046420,-0.141474,0.460751,0.256541,0.148895,0.282932
-130.108302,-300.383016,-0.046346,-0.141475,0.460750,0.256541,0.148873,0.282860
-126.010893,-300.383016,-0.046226,-0.141475,0.460750,0.256541,0.148836,0.282742
-121.913484,-300.383016,-0.046041,-0.141476,0.460748,0.256541,0.148779,0.282561
-117.816074,-300.383016,-0.045761,-0.141479,0.460743,0.256541,0.148695,0.282286
-113.718665,-300.383016,-0.045341,-0.141485,0.460730,0.256541,0.148572,0.281876
-109.621256,-300.383016,-0.044714,-0.141497,0.460700,0.256541,0.148394,0.281262
-105.523847,-300.383016,-0.043772,-0.141523,0.460627,0.256541,0.148138,0.280344
-101.426437,-300.383016,-0.042355,-0.141580,0.460453,0.256541,0.147779,0.278968
-97.329028,-300.383016,-0.040227,-0.141698,0.460047,0.256541,0.147297,0.276929
-93.231619,-300.383016,-0.037083,-0.141940,0.459116,0.256540,0.146704,0.274000
-89.134210,-300.383016,-0.032598,-0.142413,0.457042,0.256534,0.146096,0.270061
-85.036800,-300.383016,-0.026606,-0.143260,0.452576,0.256505,0.145710,0.265387
-80.939391,-300.383016,-0.019533,-0.144529,0.443371,0.256370,0.145843,0.260908
-76.841982,-300.383016,-0.013240,-0.145616,0.425462,0.255799,0.146217,0.257645
-72.744572,-300.383016,-0.012240,-0.143658,0.393252,0.253654,0.144178,0.254933
-68.647163,-300.383016,-0.024171,-0.130567,0.341693,0.246951,0.132785,0.250664
-64.549754,-300.383016,-0.054562,-0.094164,0.273661,0.231182,0.108829,0.242560
-60.452345,-300.383016,-0.079961,-0.051664,0.211024,0.207548,0.095199,0.210006
-56.354935,-300.383016,-0.020620,-0.096039,0.182321,0.190695,0.098228,0.190333
-52.257526,-300.383016,0.035566,-0.169835,0.179520,0.188588,0.173519,0.188216
-48.160117,-300.383016,0.003699,-0.163347,0.227502,0.214411,0.163388,0.214418
-44.062708,-300.383016,-0.080468,-0.142113,0.294793,0.238897,0.163313,0.253603
-39.965298,-300.383016,-0.148834,-0.124648,0.332846,0.247239,0.194136,0.300524
-35.867889,-300.383016,-0.131050,-0.099523,0.346761,0.248038,0.164557,0.314269
-31.770480,-300.383016,-0.031584,-0.078473,0.357752,0.248768,0.084591,0.266647
-27.673071,-300.383016,0.061041,-0.080807,0.379468,0.251610,0.101271,0.304339
-23.575661,-300.383016,0.099086,-0.098602,0.407112,0.254451,0.139787,0.339838
-19.478252,-300.383016,0.095457,-0.116390,0.429819,0.255878,0.150528,0.336805
-15.380843,-300.383016,0.073101,-0.128422,0.444354,0.256366,0.147770,0.312986
-11.283433,-300.383016,0.046409,-0.135193,0.452497,0.256500,0.142937,0.283621
-7.186024,-300.383016,0.022025,-0.138615,0.456736,0.256532,0.140354,0.263297
-3.088615,-300.383016,0.002228,-0.140226,0.458849,0.256539,0.140244,0.256611
1.008794,-300.383016,-0.012786,-0.140946,0.459872,0.256541,0.141525,0.258848
5.106204,-300.383016,-0.023665,-0.141256,0.460354,0.256541,0.143225,0.264202
9.203613,-300.383016,-0.031292,-0.141386,0.460576,0.256541,0.144807,0.269529
13.301022,-300.383016,-0.036505,-0.141439,0.460675,0.256541,0.146074,0.273783
17.398431,-300.383016,-0.039996,-0.141460,0.460719,0.256541,0.147006,0.276865
-142.400530,-289.833265,-0.046830,-0.141474,0.460751,0.256541,0.149023,0.283334
-138.303121,-289.833265,-0.046814,-0.141474,0.460751,0.256541,0.149019,0.283319
-134.205712,-289.833265,-0.046740,-0.141475,0.460751,0.256541,0.148996,0.283245
-130.108302,-289.833265,-0.046577,-0.141476,0.460750,0.256541,0.148946,0.283086
-126.010893,-289.833265,-0.046289,-0.141477,0.460748,0.256541,0.148857,0.282802
-121.913484,-289.833265,-0.045825,-0.141481,0.460745,0.256541,0.148717,0.282349
-117.816074,-289.833265,-0.045121,-0.141489,0.460736,0.256541,0.148509,0.281662
-113.718665,-289.833265,-0.044086,-0.141504,0.460716,0.256541,0.148213,0.280661
-109.621256,-289.833265,-0.042592,-0.141536,0.460670,0.256541,0.147805,0.279232
-105.523847,-289.833265,-0.040444,-0.141599,0.460563,0.256541,0.147262,0.277216
-101.426437,-289.833265,-0.037341,-0.141726,0.460322,0.256541,0.146562,0.274401
-97.329028,-289.833265,-0.032806,-0.141974,0.459789,0.256541,0.145715,0.270542
-93.231619,-289.833265,-0.026105,-0.142458,0.458634,0.256539,0.144830,0.265534
-89.134210,-289.833265,-0.016159,-0.143398,0.456210,0.256532,0.144305,0.259987
-85.036800,-289.833265,-0.001549,-0.145226,0.451287,0.256498,0.145235,0.256529
-80.939391,-289.833265,0.019242,-0.148795,0.441669,0.256355,0.150034,0.260472
-76.841982,-289.833265,0.047110,-0.155748,0.423642,0.255770,0.162716,0.273822
-72.744572,-289.833265,0.080912,-0.168919,0.391386,0.253519,0.187298,0.284367
-68.647163,-289.833265,0.115269,-0.191237,0.337313,0.245782,0.223290,0.273189
-64.549754,-289.833265,0.136781,-0.215754,0.258535,0.224623,0.255458,0.234847
-60.452345,-289.833265,0.114278,-0.188495,0.187517,0.193358,0.220431,0.191805
-56.354935,-289.833265,0.067187,-0.093929,0.177467,0.186800,0.115485,0.183694
-52.257526,-289.833265,0.051027,-0.058718,0.179867,0.188677,0.077792,0.184937
-48.160117,-289.833265,0.014185,-0.103091,0.237572,0.217668,0.104062,0.218054
-44.062708,-289.833265,-0.013229,-0.129562,0.318172,0.242163,0.130236,0.243069
-39.965298,-289.833265,-0.033229,-0.136100,0.378143,0.252328,0.140098,0.261021
-35.867889,-289.833265,-0.038504,-0.135443,0.413126,0.255387,0.140810,0.270383
-31.770480,-289.833265,-0.029020,-0.133778,0.431729,0.256164,0.136889,0.266548
-27.673071,-289.833265,-0.013604,-0.133459,0.442070,0.256376,0.134151,0.258964
-23.575661,-289.833265,-0.001814,-0.134686,0.448687,0.256463,0.134698,0.256511
-19.478252,-289.833265,0.002213,-0.136613,0.453307,0.256508,0.136631,0.256580
-15.380843,-289.833265,-0.000579,-0.138417,0.456449,0.256530,0.138418,0.256535
-11.283433,-289.833265,-0.007283,-0.139733,0.458420,0.256538,0.139923,0.257299
-7.186024,-289.833265,-0.015254,-0.140555,0.459556,0.256541,0.141380,0.259818
-3.088615,-289.833265,-0.022829,-0.141016,0.460165,0.256541,0.142852,0.263705
1.008794,-289.833265,-0.029229,-0.141257,0.460473,0.256541,0.144249,0.267987
